id,tenure,claim.ind,n.adults,n.children,ni.gender,ni.marital.status,premium,sales.channel,coverage.type,dwelling.type,len.at.res,credit,house.color,ni.age,year,zip.code,cancel
41,14,0,1,1,F,1,868.8166004,Broker,C,Tenant,12,high,white,41,2013,85083,0
42,11,0,1,2,F,1,688.9807304,Broker,A,Condo,7,high,blue,41,2013,20120,1
43,12,0,1,2,F,0,820.5084205,Broker,A,Condo,20,high,white,45,2013,85028,0
44,2,0,2,0,M,1,943.3069564,Broker,C,Condo,16,medium,white,26,2013,85025,0
45,4,0,3,3,M,1,907.5309719,Broker,A,House,15,medium,yellow,32,2013,85022,0
46,6,1,3,2,F,1,801.8835556,Broker,A,Tenant,17,high,white,28,2013,85025,1
47,16,0,2,6,F,1,798.3215254,Broker,A,House,13,high,white,73,2013,98004,0
48,4,1,1,0,F,1,1005.322961,Phone,C,House,13,low,red,36,2013,98006,1
49,10,0,3,4,F,1,869.266513,Broker,C,Tenant,16,high,yellow,43,2013,50059,0
50,14,0,1,5,M,1,969.2024261,Broker,A,Tenant,16,high,red,53,2013,85055,0
51,21,0,1,3,F,1,837.543712,Broker,A,Condo,39.41189139,high,blue,87,2013,50031,0
52,0,1,2,2,F,1,920.4280495,Online,C,Condo,18,high,white,27,2013,15009,0
53,11,1,1,0,F,1,984.581466,Phone,A,House,10,low,white,47,2013,80016,0
54,14,0,3,0,F,0,867.366013,Broker,C,Condo,15,medium,red,47,2013,85018,1
55,5,0,1,0,F,1,839.4504193,Phone,C,House,16,low,white,35,2013,85026,0
56,4,0,3,0,F,0,913.872156,Broker,C,Tenant,6,high,white,34,2013,80025,0
57,14,0,1,3,F,1,961.2614019,Broker,A,Condo,15,medium,blue,46,2013,50011,1
58,3,1,1,0,M,0,986.786533,Phone,A,Condo,11,low,red,24,2013,85075,1
59,16,0,3,0,M,1,894.1082415,Phone,C,Condo,6,high,red,61,2013,80003,0
60,5,0,3,1,M,1,937.2280409,Phone,B,Tenant,10,medium,red,35,2013,80025,0
61,15,0,4,1,M,1,940.1638174,Phone,A,Condo,15,high,blue,42,2013,98010,0
62,5,0,3,0,F,1,948.971554,Online,C,Condo,17,high,white,23,2013,15038,0
63,14,0,6,1,F,1,987.7423383,Broker,C,Condo,23,high,blue,44,2013,80030,0
64,9,0,3,4,M,1,880.1275533,Broker,A,Tenant,14,low,red,27,2013,15047,0
65,18,1,1,9,F,1,887.8762273,Broker,A,House,9,low,blue,55,2013,50048,1
66,16,0,2,0,M,0,961.2047716,Broker,C,House,16,high,red,55,2013,85013,1
67,3,0,1,3,F,1,1008.280167,Broker,C,House,15,medium,yellow,35,2013,98034,0
68,4,0,1,0,F,1,961.2926902,Broker,A,House,11,medium,white,28,2013,50021,0
69,12,0,1,0,F,0,857.0653056,Broker,C,Condo,16,high,white,46,2013,85073,0
70,15,0,2,2,F,1,746.4305002,Broker,C,Condo,17,high,white,42,2013,98033,0
71,0,1,3,1,M,1,1048.410935,Broker,B,Condo,14,high,white,37,2013,80020,0
72,7,0,3,1,M,1,811.2357989,Broker,B,House,24,high,white,53,2013,98006,0
73,6,1,4,0,F,1,819.3233473,Broker,B,Condo,11,high,white,27,2013,15049,1
74,0,0,1,12,F,1,961.3291127,Broker,C,Tenant,16,high,blue,38,2013,50022,1
75,18,0,3,2,F,1,923.6644373,Phone,A,House,16,high,white,41,2013,50048,0
76,16,1,1,5,F,1,881.5028048,Broker,A,House,20,high,red,46,2013,50055,0
77,2,0,3,2,M,0,849.54707,Broker,C,House,12,low,white,32,2013,85051,1
78,3,0,5,1,M,0,884.600195,Broker,A,Tenant,21,low,white,31,2013,15003,0
79,11,0,1,0,M,0,823.2791324,Phone,C,Condo,19,high,white,48,2013,50047,1
80,12,0,1,0,F,1,987.7409938,Broker,B,Tenant,17,medium,blue,48,2013,50036,0
81,15,0,2,2,M,0,974.2540865,Broker,A,House,23,high,white,40,2013,85029,0
82,17,1,2,0,F,1,871.4261873,Broker,C,House,16,low,white,41,2013,85021,0
83,4,0,1,1,M,1,978.3976445,Broker,C,NA,10,high,blue,30,2013,85014,0
84,9,1,2,6,F,1,878.868257,Broker,A,Tenant,14,high,blue,42,2013,15012,0
85,18,0,4,0,F,0,873.5652249,Phone,A,House,13,medium,red,42,2013,98011,0
86,16,1,1,1,M,1,1010.342101,Phone,A,House,22,high,red,56,2013,50020,0
87,4,0,3,1,F,1,924.8617991,Phone,B,Tenant,15,medium,blue,36,2013,50025,1
88,12,1,3,2,F,1,868.9890533,Phone,C,House,14,low,red,55,2013,85060,1
89,9,0,2,0,M,0,891.6909989,Broker,C,Tenant,14,medium,white,49,2013,98033,0
90,2,0,3,0,F,0,772.6574992,Phone,C,Condo,8,medium,red,36,2013,15021,1
91,3,0,1,4,F,1,903.4372544,Broker,C,Tenant,10,high,yellow,25,2013,80015,0
92,0,0,1,1,F,1,885.7225705,Online,A,Tenant,14,high,white,20,2013,80016,1
93,13,1,1,0,M,0,909.689064,Broker,B,House,15,high,blue,41,2013,15033,0
94,9,0,4,0,F,0,777.1311723,Phone,C,Tenant,19,medium,red,30,2013,50054,1
95,18,0,2,1,F,1,973.8204044,Broker,C,House,13,high,blue,51,2013,80002,0
96,4,1,2,0,M,0,981.4158471,Phone,B,House,14,high,red,35,2013,85036,0
97,6,0,2,0,M,0,778.5226208,Phone,C,House,18,low,white,28,2013,80012,1
98,2,0,1,3,F,1,1032.443834,Broker,A,Condo,15,high,yellow,30,2013,50021,0
99,16,0,3,0,M,1,855.5968175,Phone,A,Tenant,18,high,red,40,2013,85065,0
100,12,0,4,0,M,1,966.8041759,Broker,C,Tenant,16,medium,blue,48,2013,15001,0
101,3,0,2,0,NA,1,819.6238814,Broker,B,House,10,low,blue,25,2013,50051,0
102,9,0,4,1,F,1,818.3689296,Broker,C,Condo,14,high,blue,42,2013,50050,0
103,15,1,1,5,M,1,968.0338271,Phone,C,House,20,high,blue,52,2013,15051,0
104,14,1,3,1,M,1,804.9005866,Broker,A,Condo,10,low,blue,42,2013,85022,0
105,15,0,1,0,F,0,829.3276138,Phone,C,House,25,medium,blue,58,2013,50021,0
106,11,0,1,1,M,1,774.7029161,Broker,C,Tenant,10,high,red,41,2013,85077,0
107,16,0,1,1,F,1,988.38892,Phone,B,House,13,high,red,64,2013,98033,0
108,20,0,4,1,M,1,869.3799696,Broker,B,House,14,high,white,49,2013,98030,0
109,18,0,1,0,M,0,908.9969776,Broker,C,House,10,high,white,51,2013,98009,0
110,14,0,2,12,F,1,1037.35972,Broker,A,House,18,high,red,37,2013,15038,0
111,12,0,1,3,F,1,824.2004328,Online,A,House,21,medium,red,58,2013,50028,0
112,17,0,1,0,F,1,785.3149149,Broker,C,House,13,high,yellow,51,2013,15051,0
113,17,1,5,0,F,0,831.3714897,Broker,C,Tenant,18,low,red,40,2013,85078,1
114,12,0,2,0,M,1,855.8581146,Broker,C,House,9,high,blue,36,2013,50009,0
115,7,0,1,1,M,1,985.1421181,Broker,C,Tenant,13,medium,yellow,41,2013,20111,1
116,12,0,1,8,M,1,865.6543881,Phone,A,House,7.845051825,high,white,60,2013,98021,1
117,0,0,1,1,M,1,997.2760121,Online,C,House,9,medium,red,22,2013,85021,1
118,8,0,1,0,M,0,851.8073493,Broker,B,House,16,high,white,32,2013,80110,0
119,2,0,1,2,F,1,957.584902,Online,B,Tenant,15,medium,blue,24,2013,85073,0
120,16,0,2,2,F,1,768.1092094,Broker,A,House,16,high,blue,52,2013,85044,0
121,12,0,2,3,F,1,947.1858874,Broker,B,Condo,13,high,blue,53,2013,98011,0
122,11,0,1,1,M,1,924.5369606,Broker,B,Tenant,22,high,red,42,2013,85021,0
123,6,1,3,0,M,1,911.3265843,Broker,C,House,20,low,white,36,2013,98032,0
124,19,0,5,2,F,1,930.8877594,Broker,C,Condo,20,high,red,51,2013,50008,0
125,9,0,3,3,F,1,987.7618201,Broker,C,House,14,high,blue,49,2013,15010,0
126,13,0,2,5,F,1,960.4219808,Phone,B,House,13,high,red,56,2013,50028,0
127,16,1,4,0,F,1,928.8717403,Broker,C,House,10,high,white,44,2013,85083,0
128,17,1,1,0,M,0,827.8255164,Broker,A,House,14,high,blue,39,2013,80012,1
129,19,0,1,1,M,1,943.9071073,Broker,B,NA,26,high,blue,45,2013,85019,0
130,7,0,4,2,F,1,1031.295849,Online,A,House,14,medium,white,26,2013,80021,0
131,4,1,1,0,F,1,851.6024852,Broker,B,Condo,9.371001985,medium,blue,30,2013,15025,1
132,2,1,3,3,M,1,879.1725096,Broker,A,House,12,medium,white,25,2013,98006,1
133,14,0,3,1,M,1,1042.04027,Phone,C,House,24,high,red,68,2013,98034,0
134,13,0,2,1,F,1,928.8531336,Broker,A,Tenant,14,low,red,50,2013,85066,0
135,6,0,5,0,M,1,963.4544931,Broker,A,House,16,high,white,36,2013,50051,0
136,2,0,2,0,M,0,876.4220212,Broker,B,Condo,16,high,white,33,2013,98025,0
137,13,0,1,3,F,1,996.7515048,Broker,C,House,27.30922588,high,red,69,2013,85072,0
138,10,0,3,1,F,1,914.332603,Broker,C,House,8,high,blue,53,2013,80014,0
139,13,1,2,2,M,1,834.2042717,Broker,C,House,13,medium,white,54,2013,50028,0
140,14,0,1,0,F,0,1042.286582,Broker,C,Condo,13,low,white,42,2013,98001,0
141,15,0,1,0,M,0,981.8352146,Broker,C,House,10,high,white,60,2013,80015,0
142,8,0,3,0,M,0,1041.650064,Online,B,House,17,high,blue,34,2013,50051,0
143,7,0,1,4,M,1,816.6862066,Broker,C,House,13,high,red,45,2013,50028,0
144,0,0,3,1,F,0,947.2550767,Phone,A,House,21,low,white,37,2013,50027,0
145,2,0,1,0,F,1,875.7770723,Broker,C,Condo,14,medium,white,34,2013,15005,0
146,13,0,2,2,M,1,1025.611514,Broker,A,House,20,high,red,38,2013,80033,0
147,8,0,1,0,M,0,914.7342483,Phone,C,House,13,high,white,52,2013,20110,0
148,4,0,4,0,F,0,888.9040228,Broker,A,House,17,high,white,32,2013,98032,0
149,11,0,1,0,F,1,779.271074,Broker,A,House,17,high,red,42,2013,80035,0
150,11,0,3,0,M,0,826.9175303,Phone,B,Tenant,13,high,white,38,2013,85079,0
151,5,0,1,0,M,0,894.9515458,Phone,C,Tenant,20,high,blue,35,2013,85022,0
152,18,0,1,0,M,0,772.8026609,Broker,C,House,17,medium,blue,38,2013,80103,1
153,3,0,3,0,M,1,973.3626167,Online,A,Tenant,19,high,blue,23,2013,50020,0
154,5,0,3,0,M,1,1032.013819,Broker,C,Tenant,9,medium,blue,34,2013,80033,0
155,14,0,2,2,M,1,854.5481906,Broker,B,House,15,high,blue,48,2013,85003,0
156,3,1,3,2,M,1,914.8199966,Phone,A,House,14,low,white,22,2013,80110,1
157,3,0,1,2,F,1,1003.72683,Broker,B,House,16,medium,yellow,31,2013,50031,1
158,14,1,1,1,F,0,792.5284762,Broker,B,House,17,high,white,40,2013,80033,0
159,12,0,3,1,F,1,864.5293714,Phone,B,House,13,high,yellow,44,2013,85051,1
160,20,0,1,2,F,1,904.1686554,Online,C,House,17,high,white,42,2013,15030,0
161,14,1,1,1,M,0,1164.790826,Broker,A,House,18,high,blue,63,2013,85039,0
162,16,0,3,10,M,1,949.9276023,Broker,C,Condo,15,medium,red,45,2013,85062,0
163,12,1,1,1,F,1,804.6372524,Broker,B,House,10,medium,white,57,2013,20104,0
164,5,1,4,1,M,0,968.437436,Phone,A,Condo,12,high,blue,25,2013,50058,0
165,21,1,3,1,F,1,859.960648,Phone,A,Tenant,19,high,white,49,2013,15024,0
166,0,0,3,1,M,1,883.9266973,Online,B,Tenant,17,low,blue,21,2013,80021,0
167,15,1,2,5,M,1,939.0907656,Phone,A,House,13,high,white,47,2013,50007,0
168,12,1,4,1,M,1,968.0036789,Broker,C,House,15,high,blue,57,2013,15059,0
169,20,1,3,6,M,1,957.603489,Broker,A,Tenant,20,low,yellow,46,2013,85066,0
170,9,0,2,1,F,0,836.7149338,Broker,C,House,16,low,blue,46,2013,15018,0
171,23,1,3,0,M,0,867.2173709,Broker,A,House,19,high,blue,54,2013,15010,0
172,5,0,1,0,M,0,977.0926529,Broker,A,House,9,high,yellow,32,2013,50006,0
173,15,0,1,0,F,0,1021.510493,Phone,C,House,12,low,white,39,2013,85074,0
174,22,0,3,0,F,1,915.5097209,Broker,C,House,16,high,red,49,2013,98004,0
175,17,0,1,0,M,1,980.6352344,Phone,B,House,13,medium,blue,39,2013,50009,1
176,0,1,1,1,M,1,904.6044861,Online,A,House,15,medium,blue,21,2013,98033,1
177,5,0,2,0,F,0,969.2230463,Phone,C,House,16,high,blue,30,2013,85062,0
178,16,0,1,4,M,1,814.7145346,Broker,C,Tenant,13,low,red,52,2013,85051,0
179,14,1,2,1,M,1,735.0540387,Broker,B,House,16,high,white,45,2013,80005,0
180,17,0,1,2,M,1,1042.873174,Online,C,Tenant,13,high,white,43,2013,50021,0
181,16,1,1,0,F,1,838.2603975,Broker,C,Tenant,26.80924714,low,red,66,2013,15038,0
182,2,0,2,1,F,1,974.5667144,Online,A,House,6,medium,blue,26,2013,98033,0
183,4,0,5,0,F,1,940.3844401,Broker,B,Condo,10,low,white,25,2013,20149,1
184,13,0,1,0,F,0,1005.206958,Broker,C,Condo,10,medium,yellow,62,2013,98027,0
185,5,0,3,0,F,0,901.5131561,Phone,A,House,10,medium,red,25,2013,85025,1
186,16,1,2,8,F,1,1005.650175,Broker,C,Tenant,20,high,white,47,2013,15028,0
187,12,1,5,0,F,1,1005.951534,Phone,B,House,15,high,white,40,2013,50022,0
188,14,0,1,0,F,0,874.8816561,Broker,C,Tenant,16,high,white,44,2013,98003,0
189,14,0,3,5,F,1,818.7619807,Broker,B,House,13,high,white,61,2013,85060,0
190,8,0,4,2,M,1,879.6414453,Broker,C,Condo,15,high,red,38,2013,80030,0
191,13,0,2,0,F,0,838.3655805,Broker,C,Tenant,9,high,blue,47,2013,80028,0
192,3,0,1,1,M,1,957.268032,Broker,B,House,31.99512817,medium,white,24,2013,20116,0
193,15,0,1,1,M,1,975.771394,Phone,C,House,17,medium,white,42,2013,80024,0
194,14,1,2,0,M,1,924.8186155,Broker,C,House,15,low,red,52,2013,80012,1
195,15,1,1,1,M,1,882.7592238,Phone,C,Tenant,17,high,red,41,2013,80024,1
196,5,0,1,3,M,1,840.3760043,Broker,C,House,17,high,red,32,2013,15012,0
197,15,0,3,2,F,1,880.2256477,Broker,C,House,15,medium,white,48,2013,50021,0
198,8,0,2,0,M,0,849.4687863,Phone,A,Condo,22,high,blue,38,2013,15010,0
199,5,1,2,0,F,0,891.5958044,Broker,A,Tenant,24,high,white,30,2013,15033,0
200,16,0,4,2,M,1,863.1348716,Broker,A,House,14,high,white,52,2013,98032,0
201,14,0,1,0,M,1,821.3879391,Broker,A,House,15,high,blue,39,2013,15018,0
202,0,1,1,0,F,1,968.6682637,Broker,C,House,20,low,red,39,2013,80003,1
203,12,0,2,5,M,1,874.0738952,Phone,A,House,19,high,white,55,2013,80030,0
204,17,1,3,3,F,1,898.6781888,Broker,C,House,11,low,blue,40,2013,15019,0
205,22,0,2,1,M,1,902.6403791,Phone,A,Condo,15,high,yellow,42,2013,50020,1
206,20,0,1,0,F,1,900.0502311,Broker,C,Tenant,14,high,yellow,46,2013,15021,0
207,8,1,2,0,M,0,876.2876708,Phone,B,House,12,high,white,28,2013,80013,0
208,14,0,2,0,M,0,929.6882205,Broker,C,Condo,11,high,yellow,68,2013,50009,0
209,3,0,1,0,M,1,1119.23379,Online,C,Condo,11,low,blue,24,2013,15010,0
210,23,0,2,0,M,0,982.3816376,Broker,C,Tenant,15,low,red,48,2013,85083,0
211,13,0,3,1,F,1,1007.214449,Broker,A,Condo,20,medium,red,45,2013,85022,0
212,16,0,2,0,F,1,808.5981403,Broker,A,Condo,19,low,blue,41,2013,80016,0
213,3,0,2,10,F,1,936.9470676,Broker,C,House,9,medium,red,35,2013,50026,1
214,19,1,5,0,F,1,926.966582,Broker,C,Tenant,9,low,red,46,2013,50028,1
215,13,0,3,0,M,0,840.2054177,Phone,C,Tenant,11,high,white,40,2013,80022,0
216,9,0,1,0,M,0,1006.141515,Broker,C,Condo,17,low,red,33,2013,98038,0
217,4,0,2,1,M,1,944.7368658,Broker,C,House,15,high,red,34,2013,85071,1
218,10,0,6,3,M,1,982.9310732,Broker,C,Condo,10,high,red,33,2013,85034,0
219,14,1,1,1,F,1,825.5919895,Broker,B,Condo,15,high,blue,50,2013,85019,0
220,15,0,4,2,F,0,977.0444738,Broker,B,Condo,16,high,red,53,2013,50020,0
221,24,0,1,2,F,1,812.9122703,Broker,C,Condo,6,high,blue,47,2013,50021,0
222,15,0,3,6,M,1,911.9715298,Phone,A,Tenant,10,high,blue,46,2013,98026,0
223,16,0,1,0,F,0,946.0044481,Broker,B,House,13,low,white,58,2013,50025,0
224,15,0,6,1,M,1,994.3112921,Broker,C,House,20,high,white,40,2013,85062,0
225,3,1,2,0,F,0,896.5444683,Online,C,House,17,low,white,32,2013,85014,1
226,10,0,1,5,M,1,946.9553395,Online,A,House,12,high,blue,42,2013,15010,0
227,23,0,2,1,M,1,935.7588632,Broker,C,House,18,medium,blue,54,2013,80033,0
228,18,0,1,0,F,1,963.7241388,Phone,C,Condo,14,high,white,70,2013,15010,0
229,12,0,1,2,F,1,967.9926963,Broker,C,House,13,medium,red,42,2013,50021,0
230,3,0,1,2,F,1,869.5239246,Broker,A,House,15,medium,yellow,35,2013,98033,1
231,17,1,1,0,F,1,722.634269,Broker,B,Condo,20,high,red,50,2013,15001,0
232,5,1,3,1,M,1,928.7036788,Online,C,Condo,20,low,blue,24,2013,85022,0
233,14,0,5,1,F,0,952.6555973,Broker,C,Condo,12,low,white,50,2013,80016,0
234,2,0,1,5,F,1,862.0699673,Broker,A,Tenant,18,high,red,31,2013,98006,0
235,10,0,1,1,M,1,938.4177418,Online,A,Condo,17,high,blue,40,2013,85025,0
236,15,0,1,0,M,1,927.7246267,Broker,A,Condo,18,high,white,39,2013,50054,0
237,17,1,1,5,M,1,894.1709631,Phone,B,Condo,12,high,yellow,57,2013,15026,1
238,10,0,2,1,F,1,916.7678553,Broker,B,House,14,high,yellow,38,2013,85060,0
239,14,0,1,0,M,0,899.4429418,Broker,C,Condo,10,high,white,46,2013,15024,0
240,14,0,2,2,M,1,809.2564314,Broker,C,House,21,high,white,51,2013,50049,1
241,6,0,1,2,M,1,941.258998,Broker,C,Condo,10,medium,white,29,2013,15052,0
242,20,1,6,2,M,1,945.5504984,Broker,B,Condo,15,low,white,40,2013,85013,1
243,9,1,1,0,F,0,863.6528198,Broker,C,Condo,11,medium,blue,65,2013,50021,0
244,23,1,4,1,M,1,854.8894969,Phone,C,House,12,low,blue,45,2013,50048,1
245,17,0,4,1,M,1,851.0564314,Broker,C,House,16,high,white,61,2013,20130,0
246,15,0,1,0,M,0,817.3531188,Phone,C,House,7,high,blue,60,2013,85027,0
247,5,0,3,0,F,1,780.1177892,Phone,C,House,12,high,yellow,35,2013,98021,0
248,13,0,2,8,F,1,786.3718985,Broker,B,Condo,15,high,white,95,2013,50013,0
249,21,0,2,1,M,1,862.7287976,Online,C,House,15,high,red,53,2013,85021,0
250,15,0,4,0,M,1,825.0168367,Phone,B,House,13,low,yellow,51,2013,85034,0
251,18,0,1,10,F,1,816.3821721,Phone,C,House,16,high,red,64,2013,20116,1
252,13,0,1,2,F,1,866.5211731,Broker,C,Condo,26,low,white,49,2013,85066,0
253,14,0,1,4,F,1,901.7186053,Broker,C,House,11,medium,blue,65,2013,85051,0
254,10,1,4,0,M,0,858.9962975,Phone,C,House,14,low,red,50,2013,50044,1
255,10,0,6,0,F,0,885.7187654,Broker,A,Condo,13,medium,blue,39,2013,80028,0
256,20,0,3,2,M,1,840.601743,Phone,C,Tenant,14,high,red,46,2013,50035,1
257,14,0,1,3,F,1,915.4835645,Broker,C,Tenant,19,high,blue,48,2013,50039,0
258,13,1,3,2,F,1,925.3938463,Phone,A,House,10,medium,blue,56,2013,85072,1
259,16,0,1,2,F,1,893.199564,Broker,B,Tenant,14,high,white,39,2013,85025,0
260,17,0,3,0,F,0,921.6308632,Online,C,House,14,high,white,47,2013,15003,0
261,4,1,1,1,F,0,756.2324163,Broker,A,Tenant,21,high,blue,29,2013,20104,0
262,5,0,2,2,M,1,792.8289611,Phone,A,House,10,high,yellow,25,2013,85069,1
263,14,0,1,0,F,0,970.6487937,Broker,B,Tenant,15,high,white,40,2013,85076,0
264,15,1,3,1,F,1,906.0860151,Phone,A,Condo,15,medium,white,44,2013,50020,0
265,14,1,1,1,M,0,970.5567637,Phone,B,House,12,low,blue,44,2013,50044,1
266,18,0,2,0,M,0,832.8010264,Broker,A,Condo,15,high,red,48,2013,50005,0
267,18,0,2,2,F,1,955.5395392,Phone,C,Tenant,16,high,white,43,2013,85062,0
268,18,1,1,0,F,0,998.3507408,Phone,A,House,16,high,red,42,2013,50043,0
269,6,1,1,1,F,1,853.0617884,Broker,A,House,13,high,blue,35,2013,80024,0
270,7,0,3,2,F,1,976.6142458,Broker,B,Tenant,11,high,yellow,43,2013,85028,0
271,16,1,3,0,M,0,752.9620936,Online,C,House,15,high,yellow,48,2013,50035,1
272,17,0,3,1,F,1,860.7531246,Broker,A,Tenant,15,high,red,43,2013,50028,0
273,14,0,1,7,M,1,913.6164105,Broker,B,House,20,high,blue,56,2013,50050,0
274,15,1,3,5,F,1,997.4088956,Broker,B,House,16,medium,blue,47,2013,85027,0
275,18,0,2,5,M,1,954.0038048,Phone,C,Tenant,14,high,red,53,2013,50009,0
276,13,0,4,0,F,0,925.0824304,Online,C,Tenant,12,high,red,48,2013,15003,0
277,17,0,1,6,M,1,777.8761461,Online,C,House,18,high,blue,47,2013,15053,1
278,4,0,1,1,M,1,789.265,Broker,A,Condo,21,medium,white,34,2013,80033,0
279,2,0,1,0,M,0,792.6381902,Broker,A,House,12,high,red,35,2013,50013,0
280,15,0,2,0,M,0,830.0081996,Broker,C,House,17,high,white,41,2013,80028,0
281,10,1,2,0,F,0,876.7858343,Broker,C,House,23,high,white,39,2013,98022,0
282,19,0,2,10,M,1,922.7884816,Online,B,House,17,high,yellow,46,2013,15059,0
283,3,1,2,4,F,1,1016.309278,Phone,B,Condo,20,medium,white,29,2013,15057,0
284,0,0,3,0,M,1,953.6235097,Broker,C,Condo,18,medium,blue,25,2013,50025,0
285,21,0,5,9,F,1,834.6947153,Online,C,House,23.26929139,medium,white,56,2013,50026,1
286,3,1,5,0,M,1,970.6922503,Online,C,House,17,high,white,24,2013,50026,0
287,19,1,3,1,M,1,800.9663747,Phone,B,House,9,high,yellow,54,2013,98034,0
288,12,0,2,0,M,1,959.8883767,Phone,C,House,14,low,blue,54,2013,15001,0
289,15,0,1,0,M,0,877.0990834,Broker,A,House,9,high,red,82,2013,85060,0
290,5,1,3,1,F,1,863.3212194,Phone,A,Tenant,16,medium,red,33,2013,80028,0
291,14,0,3,0,M,1,1033.04983,Online,B,House,19,medium,red,42,2013,85083,0
292,11,0,1,4,F,1,973.1213748,Broker,A,House,11,high,yellow,62,2013,50021,1
293,14,0,2,0,M,1,826.4571128,Broker,A,Tenant,15,low,white,39,2013,80028,1
294,10,0,1,0,F,1,1003.112815,Broker,A,Tenant,25,medium,red,40,2013,15054,0
295,15,0,2,0,F,1,959.719203,Online,C,House,15,high,white,39,2013,80028,0
296,1,0,1,0,M,0,868.2540969,Broker,B,Tenant,16,low,blue,26,2013,98004,0
297,16,0,1,0,M,1,981.1510923,Phone,B,House,11,low,white,41,2013,50039,0
298,14,1,1,2,M,1,856.5560776,Broker,A,Condo,10,high,white,41,2013,50021,0
299,12,0,2,9,F,1,795.6759298,Broker,C,House,17,medium,yellow,68,2013,85039,0
300,17,1,1,3,M,1,901.9454537,Broker,C,Tenant,17,medium,white,38,2013,50039,0
301,15,0,3,3,M,1,987.1550961,Broker,A,Condo,20,high,red,79,2013,50013,0
